# IP-MIB (RFC 4293) ipSystemStatsTable and ipIfStatsTable, columns 1..47 of each
#
# MIB facts EXTRACTED with net-snmp, not hand-written. This file is the
# independent side of TestOidTypeTableAgreesWithTheMIBs. oidTypeTable and its
# test-side column lists were written in the same change from the same reading
# of the same MIBs, so a misreading shared by both would pass every assertion
# in the package; this fixture is what catches it. It is not independent of
# net-snmp, but it IS independent of the hand-written table, and a misread
# column number is the actual risk.
#
# The test READS this file. It does not shell out to snmptranslate: no CI
# workflow installs net-snmp, so a tool-dependent test would t.Skip in CI and
# assert nothing.
#
# Regenerate (needs net-snmp and its MIBs; run from go/nl6):
#   for t in 1 3; do for c in $(seq 1 47); do
#     snmptranslate -Td -m ALL -M /usr/share/snmp/mibs .1.3.6.1.2.1.4.31.$t.1.$c
#   done; done   # line 1 is the mib-name, the SYNTAX line is the syntax
#
# Extracted with: snmptranslate: illegal option -- -
# MIB path:       /usr/share/snmp/mibs
# Extracted on:   2026-08-31
#
# Format: oid<TAB>mib-name<TAB>syntax
# A row the extraction set cannot resolve carries '-' in both fields. Such
# rows are COUNTED by the test, never silently skipped.
# 94 rows, 92 resolved
.1.3.6.1.2.1.4.31.3.1.26	IP-MIB::ipIfStatsOutFragReqds	Counter32
.1.3.6.1.2.1.4.31.3.1.27	IP-MIB::ipIfStatsOutFragOKs	Counter32
.1.3.6.1.2.1.4.31.3.1.28	IP-MIB::ipIfStatsOutFragFails	Counter32
.1.3.6.1.2.1.4.31.3.1.29	IP-MIB::ipIfStatsOutFragCreates	Counter32
.1.3.6.1.2.1.4.31.3.1.30	IP-MIB::ipIfStatsOutTransmits	Counter32
.1.3.6.1.2.1.4.31.3.1.31	IP-MIB::ipIfStatsHCOutTransmits	Counter64
.1.3.6.1.2.1.4.31.3.1.32	IP-MIB::ipIfStatsOutOctets	Counter32
.1.3.6.1.2.1.4.31.3.1.33	IP-MIB::ipIfStatsHCOutOctets	Counter64
.1.3.6.1.2.1.4.31.3.1.34	IP-MIB::ipIfStatsInMcastPkts	Counter32
.1.3.6.1.2.1.4.31.3.1.35	IP-MIB::ipIfStatsHCInMcastPkts	Counter64
.1.3.6.1.2.1.4.31.3.1.36	IP-MIB::ipIfStatsInMcastOctets	Counter32
.1.3.6.1.2.1.4.31.3.1.37	IP-MIB::ipIfStatsHCInMcastOctets	Counter64
.1.3.6.1.2.1.4.31.3.1.38	IP-MIB::ipIfStatsOutMcastPkts	Counter32
.1.3.6.1.2.1.4.31.3.1.39	IP-MIB::ipIfStatsHCOutMcastPkts	Counter64
.1.3.6.1.2.1.4.31.3.1.40	IP-MIB::ipIfStatsOutMcastOctets	Counter32
.1.3.6.1.2.1.4.31.3.1.41	IP-MIB::ipIfStatsHCOutMcastOctets	Counter64
.1.3.6.1.2.1.4.31.3.1.42	IP-MIB::ipIfStatsInBcastPkts	Counter32
.1.3.6.1.2.1.4.31.3.1.43	IP-MIB::ipIfStatsHCInBcastPkts	Counter64
.1.3.6.1.2.1.4.31.3.1.44	IP-MIB::ipIfStatsOutBcastPkts	Counter32
.1.3.6.1.2.1.4.31.3.1.45	IP-MIB::ipIfStatsHCOutBcastPkts	Counter64
.1.3.6.1.2.1.4.31.3.1.46	IP-MIB::ipIfStatsDiscontinuityTime	TimeTicks
.1.3.6.1.2.1.4.31.3.1.47	IP-MIB::ipIfStatsRefreshRate	Unsigned32
